Lat,Long,W4568d,W1010d,W4579d,W4584d,W4595d,W4621d,W4623d,W4642d,W4623d,W4643d,W1010_S,W4568_S,W4579_S,W4584_S,W4589_S,W4595_S,W4621_S,W4623_S,W4642_S,W4643_S,W1010y ,W4568y,W4579Y,W4584y,W4589y,W4595y,W4621y,W4623y,W4642y,W4643y
38.0957599,87.5530278,5.34167103,3.424368609,3.344327372,6.010039727,5.144654812,2.125424598,3.861869692,33.8068726,4.080119082,2.980880365,3,0,48,0,1,2,46,7,5,18,0,0,0,0,0,0,1,0,0,0
39.8534386,86.1239699,6.305065739,2.777177133,1.755724208,3.754654024,3.07972478,3.753264722,2.822928567,35.26508884,2.901065021,4.467721333,8,2,356,1,0,13,12,22,9,1,0,0,1,0,0,0,0,0,0,0
39.9496238,91.3971682,9.328899769,3.309379711,6.977680809,8.35761594,6.388590951,6.038457613,3.896433503,30.00209016,4.155646592,1.510889257,5,1,4,1,0,2,0,35,5,24,0,0,0,0,0,0,0,0,1,0
39.7892757,86.1480686,6.250141095,2.793890096,1.761117706,3.816721484,3.146456735,3.686161647,2.854358615,35.2384026,2.938127386,4.429095708,8,2,355,1,0,3,13,22,9,1,0,0,1,0,0,0,0,0,0,0
41.6962385,88.3161863,8.826192192,0.309373799,4.533259322,4.949026067,2.851603042,5.77888987,0.360056057,33.20756414,0.638765911,3.628816421,47,14,16,2,0,13,4,948,28,2,0,0,0,0,0,0,0,1,0,0
42.2988469,88.9977389,9.675152693,1.059398748,5.431289251,5.572844078,3.319116611,6.565488662,1.02775464,32.59625485,1.126122339,3.822057562,37,13,12,2,0,8,4,891,25,2,0,0,0,0,0,0,0,1,0,0
39.9594403,85.922469,6.355455606,2.891867859,1.602629654,3.536757502,2.955019524,3.893583552,2.890194853,35.47095251,2.947212604,4.689265181,8,5,359,3,0,34,10,24,10,1,0,0,1,0,0,0,0,0,0,0
40.4742826,86.1008921,6.898307245,2.505176436,2.008802803,3.33389309,2.461561751,4.370770835,2.422560946,35.31936271,2.452700005,4.679331473,8,6,335,0,0,68,7,84,9,1,0,0,1,0,0,0,0,0,0,0
42.4877153,83.534171,8.738039115,5.009748814,3.282430214,0.108933418,2.240789953,7.091497044,4.540275707,38.04590521,4.357829723,7.859976825,6,2,3,492,1,90,1,12,26,0,0,0,0,1,0,0,0,0,0,0
42.8796849,85.7483985,9.189082337,3.055841005,3.776475748,2.357555692,0.031749747,6.801832664,2.481497908,35.89229357,2.248807793,6.252471074,4,6,21,13,0,290,1,11,22,0,0,0,0,0,0,1,0,0,0,0
42.1518034,88.4291808,9.285013917,0.744814351,4.878209263,5.01164038,2.798339771,6.247928775,0.44980456,33.14376122,0.549421499,3.946399071,35,14,14,2,0,11,4,914,26,2,0,0,0,0,0,0,0,1,0,0
42.6737963,82.9768691,8.993788313,5.594408577,3.64829375,0.496107986,2.76819525,7.518753967,5.11760654,38.62021317,4.929559415,8.439553287,6,2,1,491,1,59,0,13,26,0,0,0,0,1,0,0,0,0,0,0
45.3038761,85.2582463,11.54497151,5.021962127,6.024137373,3.377127638,2.442365268,9.272025521,4.37500384,36.75671537,4.091389787,8.352775563,0,0,0,8,0,63,1,2,8,0,0,0,0,0,0,1,0,0,0,0
42.1419769,83.210066,8.433219788,5.267426168,3.067594278,0.390240543,2.638816407,6.941580705,4.83439387,38.33274534,4.669848979,7.994900856,6,2,1,491,1,61,0,13,26,0,0,0,0,1,0,0,0,0,0,0
39.961884,75.142968,11.11620744,13.36137361,9.324790069,8.654649654,10.99435261,12.17779603,13.04553626,46.24242717,12.92565377,15.36107343,4,1,12,4,2,9,5,33,4,5,0,0,0,0,0,0,0,1,0,0
42.380054,88.059243,9.339592665,1.039867987,4.72496788,4.632637048,2.383470334,6.379139056,0.453631024,33.53773063,0.281760146,4.336943481,30,14,15,2,0,25,5,896,27,2,1,0,0,0,0,0,0,0,0,0
41.688026,86.8955107,8.284509232,1.556040521,3.396365124,3.554313699,1.684088087,5.545419377,1.168818652,34.6206812,1.092858495,4.606808723,32,20,78,2,0,161,3,846,40,2,0,0,0,0,0,0,0,1,0,0
38.5960001,90.0738737,7.442723693,3.258421032,5.675507575,7.691109644,6.117415007,4.163724574,3.902885068,31.28544289,4.187539141,0.419780537,12,1,7,2,0,4,3,33,12,75,0,0,0,0,0,0,0,0,1,0
42.3884603,87.966252,9.311207997,1.083792589,4.659759778,4.539510874,2.290963651,6.368322354,0.467416983,33.6310613,0.241659968,4.395972583,30,15,16,2,0,29,5,894,27,2,0,0,0,0,0,0,0,1,0,0
41.0339614,85.2591198,7.294347654,3.188738099,1.883545919,2.325119543,1.934036632,5.098202862,2.920394785,36.19629247,2.853511325,5.671334834,4,6,281,11,0,136,2,20,14,1,0,0,1,0,0,0,0,0,0,0
39.9577554,82.9716917,6.327017476,5.643524938,1.601161133,2.549398681,4.042693749,5.337281503,5.437069761,38.41898892,5.380732071,7.579958938,1,0,4,6,0,0,2,7,2,1,0,0,1,0,0,0,0,0,0,0
40.1420181,76.3016141,10.28304583,12.19016019,8.184941181,7.495213238,9.830771435,11.14676007,11.87297703,45.09111354,11.75327213,14.22251678,3,0,10,3,1,6,6,16,4,3,0,0,0,0,0,1,0,0,0,0
32.8999858,83.7411631,1.102437672,9.71167198,6.47323301,9.571251582,10.20521382,4.397031635,9.998067948,38.01579719,10.14534374,8.917671693,0,0,1,2,0,1,0,10,0,0,0,0,0,1,0,0,0,0,0,0
41.9026476,87.6914629,8.757369181,0.886093057,4.138047025,4.301123206,2.199804357,5.840350025,0.349047669,33.85004211,0.321183511,4.181631522,35,18,36,2,0,57,4,895,30,2,0,0,0,0,0,0,0,1,0,0
41.6045407,87.7548222,8.506875036,0.699609807,4.012035136,4.412347732,2.404088285,5.558323106,0.430138402,33.75732464,0.572060512,3.919007287,41,18,39,2,0,55,4,924,31,2,0,0,0,0,0,0,0,1,0,0
43.4377087,84.0285761,9.652820176,4.843635579,4.124290835,1.142559923,1.786688623,7.768403143,4.286209118,37.66994182,4.056837565,7.946732861,9,3,1,495,1,171,1,13,35,0,0,0,0,1,0,0,0,0,0,0
42.0410247,87.729036,8.899716949,0.942178134,4.254236746,4.322581703,2.174473543,5.983095263,0.330954516,33.82733252,0.193834184,4.262239383,31,18,26,2,0,55,4,892,28,2,0,0,0,0,0,0,0,1,0,0
42.2512744,89.0755669,9.670821241,1.065265809,5.471160917,5.652245572,3.404513496,6.548666588,1.085511357,32.51330438,1.198969451,3.748752677,38,13,12,2,0,8,2,892,25,2,0,0,0,0,0,0,1,0,0,0
42.2483999,83.5754576,8.495850006,4.92294253,3.041188971,0.263267903,2.25827048,6.859361901,4.475778903,37.97979361,4.305262816,7.712681443,6,2,4,491,1,89,0,12,26,0,0,0,0,1,0,0,0,0,0,0
41.484967,87.714623,8.381159459,0.715600498,3.911972829,4.398050363,2.438239773,5.433342873,0.548555004,33.78617373,0.697652479,3.861750168,43,18,44,2,0,56,4,922,31,2,0,0,0,0,0,0,0,1,0,0
42.9710014,85.9424458,9.309800769,2.934956656,3.931972293,2.565221709,0.216561561,6.867937492,2.342779216,35.71138162,2.099249947,6.169523952,4,5,16,4,0,284,1,12,22,0,0,0,0,0,0,1,0,0,0,0
41.7497133,88.112816,8.786019228,0.464237215,4.39013975,4.739860393,2.645065636,5.777460332,0.191640291,33.41526551,0.474212825,3.794311938,42,14,21,2,0,25,4,936,29,2,0,0,0,0,0,0,0,1,0,0
46.5422755,87.4239962,13.10675386,5.232115539,7.798355979,5.708590242,4.007070414,10.42114434,4.656312943,34.90041112,4.403170953,8.346513466,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0
41.5091613,87.3355822,8.260728595,1.095156627,3.615859614,4.02362621,2.125968884,5.400025329,0.818657904,34.16583842,0.850557585,4.155503359,38,18,61,2,0,69,3,879,32,2,0,0,0,0,0,0,0,1,0,0
34.0688912,118.2943427,33.90598828,30.75659097,34.25485883,35.86385852,33.73786444,31.65514452,31.25848071,5.296357186,31.47302105,28.23047506,2,0,9,1,0,5,3,7,2,5,0,0,1,0,0,0,0,0,0,0
41.7340573,86.8574011,8.31700784,1.602296954,3.401304623,3.5072425,1.624474301,5.590272082,1.197885176,34.66302966,1.108707355,4.665480498,34,20,83,2,0,182,3,845,41,2,0,0,0,0,0,0,0,1,0,0
39.1245425,84.3678206,5.332948517,4.655976129,0.224415493,3.471360432,4.02341592,3.787687231,4.619024295,36.99812615,4.643844309,6.100155291,3,0,112,5,0,0,2,8,4,1,0,0,0,1,0,0,0,0,0,0
42.3168148,83.1049933,8.621401632,5.398193105,3.270054091,0.355293365,2.695838403,7.14554544,4.95006244,38.45478016,4.777359711,8.164763967,6,2,1,491,1,63,0,13,26,0,0,0,0,1,0,0,0,0,0,0
41.5395868,73.053556,13.73077073,15.3729788,11.60448387,10.41514078,12.75521085,14.68061822,14.99111757,48.40772379,14.83940369,17.62344444,5,1,5,2,2,8,3,26,4,3,0,0,0,1,0,0,0,0,0,0
42.5801714,83.2791982,8.8583894,5.27878096,3.449094775,0.187026919,2.477748969,7.290662809,4.805094613,38.30940903,4.61956659,8.128430996,6,2,1,492,1,72,0,12,26,0,0,0,0,1,0,0,0,0,0,0
42.9789626,84.5389282,9.18853991,4.192865193,3.64546968,1.224140001,1.19824009,7.168990965,3.655427383,37.10471855,3.439194482,7.264551016,9,3,7,479,1,236,1,15,39,0,0,0,0,0,0,1,0,0,0,0
41.4219964,87.3314219,8.177856955,1.094643883,3.560749625,4.041223366,2.181281841,5.312971645,0.869763771,34.1621318,0.921702216,4.101667331,38,18,62,2,0,66,3,880,31,2,0,0,0,0,0,0,0,1,0,0
41.8486069,87.8003674,8.749219744,0.765761087,4.191349899,4.416343466,2.321368044,5.806599461,0.251768505,33.73614289,0.324063304,4.069325065,40,18,34,2,0,49,4,915,30,2,0,0,0,0,0,0,0,1,0,0
41.8681604,87.6311351,8.702786335,0.918925456,4.069352596,4.246041746,2.162706712,5.796439414,0.412729145,33.90648825,0.385566405,4.196223485,35,18,37,2,0,64,4,893,30,2,0,0,0,0,0,0,0,1,0,0
42.6194088,83.2467533,8.901425722,5.319225311,3.497040576,0.236940244,2.505080501,7.340555039,4.84269576,38.34596846,4.655564417,8.175515536,6,2,1,492,1,72,0,12,26,0,0,0,0,1,0,0,0,0,0,0
42.9705973,85.6403714,9.263800684,3.194427897,3.82688211,2.269745487,0.113256692,6.907709284,2.616496826,36.01092846,2.380743151,6.393638834,4,5,18,28,0,296,1,9,25,0,0,0,0,0,0,1,0,0,0,0
39.696732,86.0775578,6.141637794,2.905169519,1.670625637,3.833102121,3.229987546,3.606361113,2.970402869,35.30530826,3.054448101,4.477593434,8,2,355,2,0,3,13,22,9,1,0,0,1,0,0,0,0,0,0,0
41.7875584,87.7230881,8.663003675,0.799287724,4.092898761,4.348942734,2.282247678,5.732457911,0.345869158,33.80682358,0.406646837,4.074735385,41,18,37,2,0,55,4,917,31,2,0,0,0,0,0,0,0,1,0,0
45.3500958,84.9736136,11.57320826,5.240873249,6.038472823,3.272343419,2.557573027,9.366169572,4.595579404,37.0449619,4.31339583,8.568316855,0,0,0,9,0,66,1,1,8,0,0,0,0,0,0,1,0,0,0,0
42.2537853,83.2656536,8.536447779,5.229325504,3.148970052,0.266904856,2.554762621,7.010931663,4.785199047,38.28854995,4.615112709,7.992690989,6,2,1,491,1,69,0,13,26,0,0,0,0,1,0,0,0,0,0,0
40.719169,73.953464,12.52602422,14.48883478,10.58411978,9.633654685,11.98332463,13.54912301,14.13788189,47.46241102,14.00102579,16.61910769,2,1,8,4,2,10,4,29,3,5,1,0,0,0,0,0,0,0,0,0
40.6041501,75.4426883,11.24524548,13.00807378,9.093004851,8.198934886,10.5472146,12.11489772,12.66623428,45.96935449,12.53446221,15.12680635,4,1,11,4,1,9,5,32,4,5,0,0,0,0,0,1,0,0,0,0
40.6164852,74.275091,12.20162145,14.17293497,10.25199831,9.337339111,11.68696265,13.21171739,13.82681095,47.13621008,13.69236881,16.28777013,2,1,8,5,2,10,4,31,3,5,0,0,0,0,0,0,0,1,0,0
33.9732344,118.3561022,33.96709963,30.83948839,34.33069422,35.94638425,33.82261503,31.7231787,31.34239845,5.339693049,31.55739616,28.30741583,2,0,9,1,0,5,3,7,2,5,0,0,0,0,0,0,0,0,0,1
42.44385,85.6409981,8.742256575,2.971715954,3.330697686,2.213704853,0.474095247,6.387697858,2.453757217,35.9470827,2.256446147,6.059791222,5,6,56,22,0,271,1,26,22,0,0,0,0,0,0,0,0,0,1,0
40.4752373,86.1098476,6.901459031,2.496510529,2.01672386,3.340509829,2.461964912,4.370482853,2.414825803,35.31047924,2.445553349,4.671343966,8,6,335,0,0,68,7,85,9,1,0,0,1,0,0,0,0,0,0,0
41.8781136,87.6297982,8.711526722,0.925110902,4.074512185,4.243327555,2.156761893,5.806053091,0.412759417,33.90884087,0.378896837,4.20448474,34,18,37,2,0,66,4,893,30,2,0,1,0,0,0,0,0,0,0,0
41.9692486,87.6749422,8.812918043,0.93816855,4.166892032,4.276497039,2.155278032,5.903279283,0.367185216,33.87344863,0.281858549,4.242626754,31,18,34,2,0,61,4,893,29,2,0,0,0,0,0,0,0,1,0,0
42.5855407,83.8781137,8.808758617,4.698074166,3.300217924,0.466268178,1.884858803,7.033859296,4.213364095,37.71474293,4.024025433,7.607412651,7,3,6,492,1,146,1,12,30,0,0,0,0,1,0,0,0,0,0,0
43.582268,83.8394748,9.806067016,5.076187771,4.290782158,1.189809851,2.011796022,7.970326918,4.514650642,37.87689577,4.282495296,8.184691096,6,2,1,491,1,109,1,12,29,0,0,0,0,1,0,0,0,0,0,0
42.0149467,87.7686653,8.890536834,0.895345922,4.268464116,4.364639074,2.221231055,5.9643257,0.284966349,33.78512625,0.184978478,4.21685889,32,18,26,2,0,50,4,893,29,2,0,0,0,0,0,0,0,1,0,0
40.5016739,89.0124063,8.148371333,1.078667627,4.712551941,5.920403964,4.066158135,4.928152465,1.725493598,32.41515826,2.010440674,2.258083797,48,4,6,1,0,3,4,483,9,9,0,0,0,0,0,0,0,1,0,0
42.1203119,85.5333003,8.406849321,2.979314866,2.990097185,2.134094607,0.813623223,6.088788006,2.513826241,36.01914102,2.346952426,5.957791297,5,6,73,29,0,266,2,26,22,0,0,0,0,0,0,1,0,0,0,0
42.0053829,88.005271,8.974379755,0.731470191,4.44933846,4.60099024,2.443223551,6.001599164,0.085740802,33.54886459,0.201234917,4.062446242,34,18,19,2,0,35,4,905,28,2,0,0,0,0,0,0,0,1,0,0
43.4699537,85.9761091,9.807505356,3.202745479,4.409072555,2.73927514,0.61098517,7.360574154,2.576716926,35.7455035,2.309337066,6.496522427,3,2,0,3,0,264,1,3,20,0,0,0,0,0,0,1,0,0,0,0
42.8680611,73.9068869,13.86601537,14.59240494,11.11626272,9.529000105,11.82827777,14.4582878,14.16409078,47.66268788,13.99077053,17.05122078,1,0,1,1,0,3,1,2,1,1,0,0,0,0,0,0,0,1,0,0
41.5390476,87.2715479,8.266113039,1.161943135,3.583214617,3.954345504,2.058184219,5.422674574,0.860464946,34.23234298,0.871252022,4.223381484,38,18,61,2,0,80,3,876,32,2,0,0,0,0,0,0,0,1,0,0
41.5980672,87.7922417,8.515812915,0.661899456,4.039314424,4.450311082,2.439081686,5.559146624,0.411480576,33.71945877,0.571458096,3.888579899,42,18,36,2,0,49,4,924,31,2,0,0,0,0,0,0,0,1,0,0
38.1999245,87.5665362,5.433840735,3.320229214,3.319846931,5.944123427,5.052225601,2.226553953,3.756833207,33.79262199,3.975210427,2.945924847,5,0,47,0,1,2,46,7,6,18,0,0,0,0,0,0,1,0,0,0
42.2741718,83.4883158,8.530269105,5.013217903,3.09178041,0.201355377,2.334610922,6.922391345,4.564588477,38.06910698,4.39296573,7.802089624,6,2,3,491,1,81,0,12,26,0,0,0,0,1,0,0,0,0,0,0
41.709436,86.4994177,8.194103277,1.950140186,3.139021125,3.16382558,1.421961602,5.567524371,1.555521282,35.0170157,1.452981059,4.932226711,25,19,127,2,0,199,3,769,39,0,0,0,0,0,0,1,0,0,0,0
41.8023101,87.588255,8.625716075,0.926297971,3.994876616,4.213464235,2.158213533,5.724685755,0.468279047,33.94245664,0.463646122,4.177123983,37,18,38,2,0,64,4,899,30,2,0,0,0,0,0,0,0,0,1,0
41.83253,88.199789,8.897996284,0.481906488,4.508378862,4.81425503,2.68932224,5.879296895,0.185831194,33.33718789,0.459788511,3.807558402,42,14,17,2,0,22,4,940,28,2,0,0,0,0,0,0,0,1,0,0
39.2232375,85.8864013,5.634094653,3.349354388,1.444067032,4.069739125,3.688380562,3.185071674,3.456308033,35.48204246,3.551724364,4.593819058,5,1,311,4,0,2,14,11,8,1,0,0,1,0,0,0,0,0,0,0
42.7260823,85.7045502,9.030707809,3.024248054,3.617191726,2.291939035,0.184970498,6.656264758,2.468110176,35.91692532,2.247072474,6.186137235,4,6,48,15,0,284,1,15,22,0,0,0,0,0,0,1,0,0,0,0
42.415493,83.209809,8.704166681,5.312751524,3.319830327,0.223401901,2.572963452,7.179293449,4.854517637,38.36074683,4.676892989,8.114398306,6,2,1,491,1,68,0,12,26,0,0,0,0,1,0,0,0,0,0,0
39.1941642,96.5992506,13.35161384,8.467541247,12.15342332,13.57214193,11.48156153,10.35090076,8.985207449,24.77247491,9.210875273,6.156660265,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0
42.5288814,83.3782576,8.795567586,5.170875811,3.368157021,0.079735892,2.387217055,7.199095595,4.700129824,38.20535382,4.516474538,8.016887224,6,2,1,492,1,79,1,12,26,0,0,0,0,1,0,0,0,0,0,0
35.1401547,83.1587066,1.825738247,8.18640885,4.387784921,7.33086456,8.184447147,3.688438502,8.359604188,38.33781189,8.462059743,8.14998958,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,1,0,0
